TwoTheta,Counts,Starch
43.817,1959,Tapioca
43.796,2033,Tapioca
43.775,1966,Tapioca
43.754,2019,Tapioca
43.733,2038,Tapioca
43.712,2064,Tapioca
43.691,2059,Tapioca
43.669,1931,Tapioca
43.648,1991,Tapioca
43.627,1930,Tapioca
43.606,2063,Tapioca
43.585,1991,Tapioca
43.564,1966,Tapioca
43.543,2033,Tapioca
43.521,2050,Tapioca
43.5,2053,Tapioca
43.479,1954,Tapioca
43.458,2058,Tapioca
43.437,1938,Tapioca
43.416,2044,Tapioca
43.395,2016,Tapioca
43.373,2033,Tapioca
43.352,2028,Tapioca
43.331,2022,Tapioca
43.31,2114,Tapioca
43.289,2040,Tapioca
43.268,2132,Tapioca
43.247,2035,Tapioca
43.225,2042,Tapioca
43.204,1993,Tapioca
43.183,2030,Tapioca
43.162,2102,Tapioca
43.141,2051,Tapioca
43.12,2102,Tapioca
43.099,2073,Tapioca
43.077,2148,Tapioca
43.056,2094,Tapioca
43.035,2079,Tapioca
43.014,2027,Tapioca
42.993,1982,Tapioca
42.972,2069,Tapioca
42.951,1994,Tapioca
42.929,2074,Tapioca
42.908,2061,Tapioca
42.887,2052,Tapioca
42.866,2016,Tapioca
42.845,2028,Tapioca
42.824,2114,Tapioca
42.803,2065,Tapioca
42.781,2087,Tapioca
42.76,2092,Tapioca
42.739,1964,Tapioca
42.718,2022,Tapioca
42.697,2051,Tapioca
42.676,2087,Tapioca
42.655,2076,Tapioca
42.633,2015,Tapioca
42.612,2033,Tapioca
42.591,2129,Tapioca
42.57,2025,Tapioca
42.549,2076,Tapioca
42.528,2058,Tapioca
42.507,2105,Tapioca
42.485,2111,Tapioca
42.464,2039,Tapioca
42.443,2135,Tapioca
42.422,2039,Tapioca
42.401,2060,Tapioca
42.38,1990,Tapioca
42.359,2122,Tapioca
42.337,2037,Tapioca
42.316,2035,Tapioca
42.295,2156,Tapioca
42.274,2067,Tapioca
42.253,2055,Tapioca
42.232,2055,Tapioca
42.211,2113,Tapioca
42.189,2074,Tapioca
42.168,1989,Tapioca
42.147,2029,Tapioca
42.126,2091,Tapioca
42.105,2106,Tapioca
42.084,2096,Tapioca
42.063,2130,Tapioca
42.041,2198,Tapioca
42.02,2143,Tapioca
41.999,2086,Tapioca
41.978,2104,Tapioca
41.957,2071,Tapioca
41.936,2215,Tapioca
41.915,2084,Tapioca
41.893,2069,Tapioca
41.872,2109,Tapioca
41.851,2025,Tapioca
41.83,2063,Tapioca
